Number,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,Early Access Date,UT (Unique WOS ID),Pubmed Id,Survey,N,Relevant,Rel_2
1001,"Garg, Suneela; Singh, Meghachandra M.; Deshmukh, Chetana Prakash; Bhatnagar, Nidhi; Borle, Amod L.; Kumar, Raman",Critical interpretative synthesis of herd immunity for COVID-19 pandemic,JOURNAL OF FAMILY MEDICINE AND PRIMARY CARE,"Introduction: Countries globally are evaluating the concept of herd immunity and its critical role in the control of pandemic. The current paper attempts to conduct a critical interpretative synthesis (CIS) on the role of herd immunity in current COVID-19 pandemic. Methods: CIS is tool for developing theoretical framework using interpretation drawn from relevant empirical and non-empirical sources. This review is done by formulating review question for literature search. Purposive sampling of literature was done followed by reciprocal translational analysis of extracted data. Results: Herd immunity is indirect protection from a contagious infectious disease when a population is immune either through vaccination or natural immunity developed through previous infection. The reproduction number for COVID-19 in India was found to be 2.56 and herd immunity threshold as 61%. Discussion: Exposing 71% young population in India to the SARS-CoV-2 infection can achieve herd immunity but with high morbidity as well as mortality. Vaccine are under process. Feco-oral transmission and reinfection of COVID 19 are major factors to develop or break the circle of herd immunity in community. Immunity passport can give false sense of security. Surveillance and seroprevalence studies assess immunity status, gradual exposure of infection to younger population and collaborative partnerships on organizations are few strategies to acquire herd immunity. Conclusion: Herd immunity is a measure for prevention and control of COVID-19 pandemic against the backdrop of mortality and morbidity. Vaccine can be boon but if herd immunity is to be acquired by natural infection then preparedness is necessary.",MAR,2021,10,3,,WOS:000648447400007,34041138,,,,
1002,"Marcec, Robert; Majta, Matea; Likic, Robert",Will vaccination refusal prolong the war on SARS-CoV-2?,POSTGRADUATE MEDICAL JOURNAL,"Introduction Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a novel coronavirus that appeared in Wuhan, China in January 2020 and caused a global pandemic drastically changing everyday life. Currently, there are vaccine candidates in clinical trials and development, so it is only a matter of time before one is authorised for human use. Materials and methods We collected public opinion survey results about attitudes towards SARS-CoV-2 vaccination conducted in 2020 in 26 European countries. Results The pooled surveys were conducted on a total of 24 970 participants; on average only 58% (n=14 365/24 970) of responders across Europe were willing to get a SARS-CoV-2 vaccine once it becomes available, 16% (n=3998/24 970) were neutral, and 26% (n=6607/24 970) were not planning to vaccinate against SARS-CoV-2. Such a low vaccination response could make it exceedingly difficult to reach the herd immunity threshold for SARS-CoV-2 through vaccination. Conclusion It is very important to start conducting educational public health activities on the topic of vaccination as soon as possible, before a vaccine becomes available, in order to improve attitudes towards SARS-CoV-2 vaccination. Only by educating the general public about the benefits, safety and efficacy of vaccines can we hope to avoid the unnecessary prolongation of the COVID-19 pandemic.",MAR,2021,97,1145,,WOS:000624065800005,33115909,yes,25K,1,1
1003,"Natarajan, Harini; Crowley, Andrew R.; Butler, Savannah E.; Xu, Shiwei; Weiner, Joshua A.; Bloch, Evan M.; Littlefield, Kirsten; Wieland-Alter, Wendy; Connor, Ruth, I; Wright, Peter F.; Benner, Sarah E.; Bonny, Tania S.; Laeyendecker, Oliver; Sullivan, David; Shoham, Shmuel; Quinn, Thomas C.; Larman, H. Benjamin; Casadevall, Arturo; Pekosz, Andrew; Redd, Andrew D.; Tobian, Aaron A. R.; Ackerman, Margaret E.",Markers of Polyfunctional SARS-CoV-2 Antibodies in Convalescent Plasma,MBIO,"Convalescent plasma is a promising therapy for coronavirus disease 2019 (COVID-19), but the antibody characteristics that contribute to efficacy remain poorly understood. This study analyzed plasma samples from 126 eligible convalescent blood donors in addition to 15 naive individuals, as well as an additional 20 convalescent individuals as a validation cohort. Multiplexed Fc Array binding assays and functional antibody response assays were utilized to evaluate severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) antibody composition and activity. Donor convalescent plasma samples contained a range of antibody cell- and complement-mediated effector functions, indicating the diverse antiviral activity of humoral responses observed among recovered individuals. In addition to viral neutralization, convalescent plasma samples contained antibodies capable of mediating such Fc-dependent functions as complement activation, phagocytosis, and antibody-dependent cellular cytotoxicity against SARS-CoV-2. Plasma samples from a fraction of eligible donors exhibited high activity across all activities evaluated. These polyfunctional plasma samples could be identified with high accuracy with even single Fc Array features, whose correlation with polyfunctional activity was confirmed in the validation cohort. Collectively, these results expand understanding of the diversity of antibody-mediated antiviral functions associated with convalescent plasma, and the polyfunctional antiviral functions suggest that it could retain activity even when its neutralizing capacity is reduced by mutations in variant SARS-CoV-2. IMPORTANCE Convalescent plasma has been deployed globally as a treatment for COVID-19, but efficacy has been mixed. Better understanding of the antibody characteristics that may contribute to its antiviral effects is important for this intervention as well as offer insights into correlates of vaccine-mediated protection. Here, a survey of convalescent plasma activities, including antibody neutralization and diverse effector functions, was used to define plasma samples with broad activity profiles. These polyfunctional plasma samples could be reliably identified in multiple cohorts by multiplex assay, presenting a widely deployable screening test for plasma selection and investigation of vaccine-elicited responses.",MAR-APR,2021,12,2,,WOS:000697573400006,,,,,
1004,"Perez de la Lastra, Jose Manuel; Andres-Juan, Celia; Plou, Francisco J.; Perez-Lebena, Eduardo","Impact of Zinc, Glutathione, and Polyphenols as Antioxidants in the Immune Response against SARS-CoV-2",PROCESSES,"SARS-CoV-2, the coronavirus triggering the disease COVID-19, has a catastrophic health and socioeconomic impact at a global scale. Three key factors contribute to the pathogenesis of COVID-19: excessive inflammation, immune system depression/inhibition, and a set of proinflammatory cytokines. Common to these factors, a central function of oxidative stress has been highlighted. A diversity of clinical trials focused predominantly on antioxidants are being implemented as potential therapies for COVID-19. In this study, we look at the role of zinc, glutathione, and polyphenols, as key antioxidants of possible medicinal or nutritional significance, and examine their role in the antiviral immune response induced by SARS-Cov-2. An unresolved question is why some people experience chronic COVID and others do not. Understanding the relationship between SARS-CoV-2 and the immune system, as well as the role of defective immune responses to disease development, would be essential to recognize the pathogenesis of COVID-19, the risk factors that affect the harmful consequences of the disease, and the rational design of successful therapies and vaccinations. We expect that our research will provide a novel perspective that contributes to the design of clinical or nutritional targets for the prevention of this pandemic.",MAR,2021,9,3,,WOS:000634257500001,,,,,
1005,"Rachaniotis, Nikolaos P.; Dasaklis, Thomas K.; Fotopoulos, Filippos; Tinios, Platon",A Two-Phase Stochastic Dynamic Model for COVID-19 Mid-Term Policy Recommendations in Greece: A Pathway towards Mass Vaccination,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"From 7 November 2020, Greece adopted a second nationwide lockdown policy to mitigate the transmission of SARS-CoV-2 (the first took place from 23 March to 4 May 2020), just as the second wave of COVID-19 was advancing, as did other European countries. To secure the full benefits of mass vaccination, which started in early January 2021, it is of utmost importance to complement it with mid-term non-pharmaceutical interventions (NPIs). The objective was to minimize human losses and to limit social and economic costs. In this paper a two-phase stochastic dynamic network compartmental model (a pre-vaccination SEIR until 15 February 2021 and a post-vaccination SVEIR from 15 February 2021 to 30 June 2021) is developed. Three scenarios are assessed for the first phase: (a) A baseline scenario, which lifts the national lockdown and all NPIs in January 2021; (b) a semi-lockdown scenario with school opening, partial retail sector operation, universal mask wearing, and social distancing/teleworking in January 2021; and (c) a rolling lockdown scenario combining a partial lifting of measures in January 2021 followed by a third nationwide lockdown in February 2021. In the second phase three scenarios with different vaccination rates are assessed. Publicly available data along with some first results of the SHARE COVID-19 survey conducted in Greece are used as input. The results regarding the first phase indicate that the semi-lockdown scenario clearly outperforms the third lockdown scenario (5.7% less expected fatalities); the second phase is extremely sensitive on the availability of sufficient vaccine supplies and high vaccination rates.",MAR,2021,18,5,,WOS:000628167300001,33802501,,,,
1006,"Radic, Aleksandar; Koo, Bonhak; Gil-Cordero, Eloy; Cabrera-Sanchez, Juan Pedro; Han, Heesup",Intention to Take COVID-19 Vaccine as a Precondition for International Travel: Application of Extended Norm-Activation Model,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"The COVID-19 pandemic is a serious threat to human health, the global economy, and the social fabrics of contemporary societies as many aspects of modern everyday life, including travel and leisure, have been shattered to pieces. Hence, a COVID-19 mandatory vaccination as a precondition for international travel is being debated in many countries. Thus, the present research aimed to study the intention to take the COVID-19 vaccine as a precondition for international travel using an extended Norm-Activation Model. The study model integrates a new construct, namely mass media coverage on COVID-19 vaccination as additional predictor of intention to take the COVID-19 vaccine. The survey data were collected from 1221 international travelers. Structural equation modelling shows a very good fit of the final model to the data; the conceptual model based on extended Norm-Activation Model was strongly supported. Awareness of consequences related to the COVID-19 pandemic on individuals' health has shown a positive effect on individuals' ascribed responsibility to adopt emotionally driven (anticipated pride and anticipated guilt) pro-social behaviors that activate a personal norm towards altruistic and pro-mandatory vaccination-friendly behavior. Theoretical and practical implications are discussed.",MAR,2021,18,6,,WOS:000639173800001,33803023,yes,1200,3(spec. design = vcc. Intention as function of mass media and travel),3
1007,"Schultz, Emilien; Ward, Jeremy K.; Atlani-Duault, Laetitia; Holmes, Seth M.; Mancini, Julien",French Public Familiarity and Attitudes toward Clinical Research during the COVID-19 Pandemic,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"The COVID-19 pandemic put clinical research in the media spotlight globally. This article proposes a first measure of familiarity with and attitude toward clinical research in France. Drawing from the Health Literacy Survey 2019 (HLS19) conducted online between 27 May and 5 June 2020 on a sample of the French adult population (N = 1003), we show that a significant proportion of the French population claimed some familiarity with clinical trials (64.8%) and had positive attitudes (72%) toward them. One of the important findings of this study is that positive attitudes toward clinical research exist side by side with a strong distancing from the pharmaceutical industry. While respondents acknowledged that the pharmaceutical industry plays an important role in clinical research (68.3%), only one-quarter indicated that they trust the industry (25.7%). Positive attitudes toward clinical trials were associated with familiarity with clinical trials (Odds Ratio, OR 2.97 [1.90-4.63]), financial difficulties (OR 0.63 [0.46-0.85]), as well as mistrust of doctors (0.48 [0.27-0.85]) and of scientists (OR 0.62 [0.38-0.99]). Although the French media provided a great deal of information on how clinical research works during the first months of the pandemic, there remains profound mistrust of the pharmaceutical industry in France. This suspicion can undermine crisis management, especially in the areas of vaccine development and preparation for future pandemics.",MAR,2021,18,5,,WOS:000628150100001,33807787,,,,
1008,"Shayak, B.; Sharma, Mohit M.; Gaur, Manas; Mishra, Anand Kumar",Impact of reproduction number on the multiwave spreading dynamics of COVID-19 with temporary immunity: A mathematical model,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,"Objectives: The recent discoveries of phylogenetically confirmed COVID-19 reinfection cases worldwide, together with studies suggesting that antibody titres decrease over time, raise the question of what course the epidemic trajectories may take if immunity were really to be temporary in a significant fraction of the population. The objective of this study is to obtain an answer for this important question. Methods: We construct a ground-up delay differential equation model tailored to incorporate different types of immune response. We considered two immune responses: (a) short-lived immunity of all types, and (b) short-lived sterilizing immunity with durable severity-reducing immunity. Results: Multiple wave solutions to the model are manifest for intermediate values of the reproduction number R; interestingly, for sufficiently low as well as sufficiently high R, we find conventional singlewave solutions despite temporary immunity. Conclusions: The versatility of our model, and its very modest demands on computational resources, ensure that a set of disease trajectories can be computed virtually on the same day that a new and relevant immune response study is released. Our work can also be used to analyse the disease dynamics after a vaccine is certified for use and information regarding its immune response becomes available. ? 2021 The Authors. Published by Elsevier Ltd on behalf of International Society for Infectious Diseases. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",MAR,2021,104,,,WOS:000632935600002,33444746,,,,
1009,"Stewart, Mallory",Defending Weapons Inspections from the Effects of Disinformation,AJIL UNBOUND,"The intentional spread of disinformation is not a new challenge for the scientific world. We have seen it perpetuate the idea of a flat earth, convince communities that vaccines are more dangerous than helpful, and even suggest a connection between the 5G communication infrastructure and COVID-19. Nor is disinformation a new phenomenon in the weapons inspection arena. Weapons inspectors themselves are often forced to sift through alternative narratives of events and inconsistent reporting, and they regularly see their credibility and conclusions questioned in the face of government politics or public biases. But certain recent disinformation campaigns have become so overwhelmingly comprehensive and effective that they constitute a new kind of threat. By preventing accountability for clear violations of international law, these campaigns have created a challenge to the survival of arms control treaties themselves. If weapons inspectors cannot regain the trust of the international community in the face of this challenge, it will be increasingly difficult to ensure compliance with arms control and disarmament treaties going forward. In this essay, I will briefly discuss one of the most comprehensive disinformation efforts of the past decade: the disinformation campaign used to prevent accountability for Syria's repeated use of chemical weapons. After this discussion, I will propose one possible approach to help protect the credibility of disarmament experts and weapons inspectors in the face of pervasive disinformation. This approach will require a concerted effort to connect and support compliance experts and to understand and explain their expertise across cultural, political, national, economic, and religious divides.",MAR 1,2021,115,,,WOS:000702235800005,,,,9(wapons inspectors),9
1010,"Yeh, Ya-Chin; Chen, I-Hua; Ahorsu, Daniel K.; Ko, Nai-Ying; Chen, Kuan-Lin; Li, Ping-Chia; Yen, Cheng-Fang; Lin, Chung-Ying; Griffiths, Mark D.; Pakpour, Amir H.",Measurement Invariance of the Drivers of COVID-19 Vaccination Acceptance Scale: Comparison between Taiwanese and Mainland Chinese-Speaking Populations,VACCINES,"The impacts of novel coronavirus disease-2019 (COVID-19) on human life continue to be serious. To control the spread of COVID-19, the production of effective vaccines is likely to be one of the best solutions. However, vaccination hesitancy may decrease individuals' willingness to get vaccinated. The Drivers of COVID-19 Vaccination Acceptance Scale (DrVac-COVID19S) was recently developed to help healthcare professionals and researchers better understand vaccination acceptance. The present study examined whether DrVac-COVID19S is measurement invariant across different subgroups (Taiwanese vs. mainland Chinese university students; males vs. females; and health-related program majors vs. non-health-related program majors). Taiwanese (n = 761; mean age = 25.51 years; standard deviation (SD) = 6.42; 63.5% females) and mainland Chinese university students (n = 3145; mean age = 20.72 years; SD = 2.06; 50.2% females) were recruited using an online survey between 5 January and 21 February 2021. Factor structure and measurement invariance of the two DrVac-COVID19S scales (nine-item and 12-item) were tested using confirmatory factor analysis (CFA). The findings indicated that the DrVac-COVID19S had a four-factor structure and was measurement invariant across the subgroups. The DrVac-COVID19S's four-factor structure was supported by the CFA results is a practical and valid instrument to quickly capture university students' willingness to get COVID-19 vaccination. Moreover, the DrVac-COVID19S can be used to compare university students' underlying reasons to get COVID-19 vaccination among different subgroups.",MAR,2021,9,3,,WOS:000634197100001,33810036,,,,
